City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
573,corner brook,48.9667,-57.9484,0.09,91,99,4.69,CA,1706462108
574,bethanie,-26.4833,17.15,30.88,19,83,9.73,NA,1706462336
575,ataq,14.5377,46.8319,21.32,72,97,4.47,YE,1706462336
576,ialibu,-6.2821,143.9935,13.78,92,100,0.62,PG,1706462336
577,renala khurd,30.8833,73.6,13.37,31,5,1.46,PK,1706462336
578,taghazout,30.5426,-9.7112,27.43,36,1,3.91,MA,1706462336
579,kirensk,57.7853,108.1119,-33.35,100,36,1.34,RU,1706462336
580,antsiranana,-12.2787,49.2917,25.25,84,25,3.52,MG,1706462336
581,yibin,28.7667,104.6238,7.81,67,81,0.61,CN,1706462337
582,yangon,16.8053,96.1561,23.98,83,40,1.54,MM,1706462112
583,san jose de jachal,-30.2406,-68.7469,32.63,24,0,4.73,AR,1706462337
